track,model,gran,TSS_mean,TSS_ci,HSS_mean,HSS_ci,CSI_mean,CSI_ci,MCC_mean,MCC_ci,SEDI_mean,SEDI_ci,precision_mean,precision_ci,FB_mean,FB_ci,n_folds
XRS M-class,frets,per-day,0.05,0.114,0.072,0.162,0.05,0.114,0.187,0.286,0.321,0.312,0.67,0.276,0.065,0.139,5.0
XRS M-class,frets,per-point,0.059,0.12,0.072,0.131,0.041,0.077,0.08,0.132,0.314,0.312,0.131,0.16,0.238,0.437,5.0
XRS M-class,frets,per-window,0.053,0.108,0.078,0.154,0.053,0.108,0.13,0.197,0.298,0.276,0.563,0.442,0.066,0.131,5.0
XRS M-class,itransformer,per-day,0.032,0.028,0.051,0.046,0.032,0.028,0.149,0.074,0.364,,0.971,0.079,0.033,0.03,5.0
XRS M-class,itransformer,per-point,0.053,0.078,0.084,0.113,0.046,0.065,0.119,0.117,0.385,0.152,0.371,0.098,0.135,0.198,5.0
XRS M-class,itransformer,per-window,0.025,0.016,0.04,0.026,0.025,0.016,0.138,0.045,0.421,0.089,0.973,0.02,0.025,0.016,5.0
XRS M-class,naive (persistence),per-day,0.051,0.051,0.08,0.079,0.051,0.051,0.192,0.098,0.329,,0.975,0.069,0.052,0.05,5.0
XRS M-class,naive (persistence),per-point,0.113,0.069,0.114,0.068,0.065,0.04,0.114,0.068,0.398,0.109,0.123,0.068,0.97,0.083,5.0
XRS M-class,naive (persistence),per-window,0.047,0.016,0.074,0.023,0.047,0.016,0.191,0.033,0.441,0.042,0.959,0.016,0.049,0.016,5.0
XRS M-class,patchmixer,per-day,0.057,0.056,0.09,0.087,0.057,0.056,0.203,0.108,0.282,,0.967,0.093,0.058,0.055,5.0
XRS M-class,patchmixer,per-point,0.05,0.08,0.079,0.112,0.044,0.065,0.121,0.107,0.398,0.124,0.43,0.096,0.122,0.201,5.0
XRS M-class,patchmixer,per-window,0.047,0.032,0.075,0.05,0.048,0.032,0.187,0.065,0.429,0.073,0.949,0.035,0.05,0.035,5.0
XRS M-class,patchtst,per-day,0.02,0.024,0.033,0.04,0.021,0.024,0.131,0.095,0.144,,0.875,0.347,0.022,0.023,5.0
XRS M-class,patchtst,per-point,0.053,0.086,0.08,0.118,0.045,0.069,0.108,0.12,0.366,0.165,0.339,0.069,0.15,0.23,5.0
XRS M-class,patchtst,per-window,0.025,0.02,0.041,0.033,0.025,0.02,0.132,0.068,0.371,0.125,0.93,0.063,0.027,0.021,5.0
XRS M-class,rlinear,per-day,0.044,0.042,0.07,0.066,0.044,0.042,0.18,0.097,,,1.0,0.0,0.044,0.042,5.0
XRS M-class,rlinear,per-point,0.059,0.081,0.092,0.112,0.051,0.065,0.143,0.091,0.438,0.097,0.527,0.253,0.146,0.212,5.0
XRS M-class,rlinear,per-window,0.044,0.024,0.071,0.036,0.044,0.024,0.186,0.048,0.469,0.043,0.979,0.011,0.046,0.025,5.0
XRS M-class,segrnn,per-day,0.037,0.036,0.06,0.059,0.037,0.036,0.165,0.089,,,1.0,0.0,0.037,0.036,5.0
XRS M-class,segrnn,per-point,0.026,0.024,0.049,0.041,0.025,0.023,0.117,0.045,0.41,0.037,0.615,0.112,0.047,0.054,5.0
XRS M-class,segrnn,per-window,0.035,0.017,0.056,0.026,0.035,0.017,0.165,0.042,0.469,0.035,0.984,0.016,0.035,0.017,5.0
XRS M-class,tide,per-day,0.054,0.047,0.086,0.074,0.054,0.047,0.203,0.092,,,1.0,0.0,0.054,0.047,5.0
XRS M-class,tide,per-point,0.061,0.082,0.095,0.112,0.053,0.065,0.147,0.09,0.442,0.095,0.519,0.226,0.149,0.214,5.0
XRS M-class,tide,per-window,0.05,0.025,0.08,0.037,0.05,0.025,0.198,0.047,0.459,0.042,0.97,0.006,0.052,0.025,5.0
XRS M-class,tsmixer,per-day,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class,tsmixer,per-point,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class,tsmixer,per-window,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,5.0
XRS M-class,xpatch,per-day,0.03,0.022,0.047,0.036,0.03,0.022,0.138,0.066,0.296,0.119,0.876,0.17,0.034,0.024,5.0
XRS M-class,xpatch,per-point,0.046,0.079,0.071,0.109,0.039,0.063,0.118,0.094,0.407,0.1,0.523,0.201,0.113,0.212,5.0
XRS M-class,xpatch,per-window,0.032,0.024,0.051,0.038,0.032,0.025,0.151,0.056,0.385,0.084,0.94,0.068,0.034,0.026,5.0
XRS M-class (multi),dlinear,per-day,0.106,0.166,0.144,0.205,0.106,0.163,0.228,0.205,0.39,0.36,0.832,0.253,0.13,0.212,5.0
XRS M-class (multi),dlinear,per-point,0.085,0.18,0.073,0.099,0.041,0.063,0.12,0.081,0.42,0.121,0.396,0.17,0.481,1.217,5.0
XRS M-class (multi),dlinear,per-window,0.107,0.186,0.144,0.222,0.106,0.182,0.243,0.191,0.475,0.129,0.938,0.065,0.125,0.232,5.0
XRS M-class (multi),frets,per-day,0.011,0.018,0.017,0.029,0.011,0.019,0.132,0.071,0.245,,0.834,0.462,0.013,0.023,5.0
XRS M-class (multi),frets,per-point,0.012,0.028,0.02,0.049,0.011,0.027,0.063,0.121,0.317,0.117,0.538,0.612,0.029,0.065,5.0
XRS M-class (multi),frets,per-window,0.013,0.022,0.02,0.034,0.013,0.022,0.104,0.129,0.363,0.094,0.932,0.137,0.014,0.024,5.0
