track,seq_len,pred_len,fold,strategy,model,best_val_loss,skipped,est_train_hours,rmse,mae,tss_p_gt10,hss_p_gt10,pod_p_gt10,far_p_gt10,tss_xrs_long,hss_xrs_long,pod_xrs_long,far_xrs_long
uni_b,864,288,0,direct,itransformer,0.0730384215712547,False,,0.2649660408496856,0.1577360481023788,,,,,0.0119479235068159,0.0223241519395155,0.0125484587300989,0.7834221125113681
uni_b,864,288,0,direct,patchmixer,0.0996344462037086,False,,0.4418392479419708,0.1902109980583191,,,,,0.0116811024808668,0.0213826117592698,0.0125785690089954,0.8435759419611514
uni_b,864,288,0,direct,xpatch,0.0799827128648758,False,,0.280055969953537,0.1636341214179992,,,,,0.0055140322202405,0.0107197421211056,0.0056475591855169,0.6412003825920612
uni_b,864,288,0,direct,patchtst,0.0829028859734535,False,,0.2877905964851379,0.1687116771936416,,,,,0.0023380956648363,0.0045856498001997,0.0023937671722684,0.637400228050171
uni_b,864,288,0,direct,frets,0.1581315845251083,False,,0.3886456787586212,0.2722355127334595,,,,,0.0012575780479925,0.002448811274614,0.0014245925702886,0.8985934360348292
uni_b,864,288,0,direct,tsmixer,0.2455661594867706,False,,0.4653931558132171,0.3668332695960998,,,,,0.0,0.0,0.0,0.0
multi,864,288,0,direct,rlinear,0.0495843887329101,False,,0.2400203049182891,0.1390455812215805,0.6538990487428193,0.7348461420283834,0.6559792943165011,0.1544448062520351,0.0216258344567819,0.0345162149520582,0.0226014083473923,0.909544603867748
multi,864,288,0,direct,segrnn_thuml,0.0442240610718727,False,,0.2111005336046219,0.1265469789505005,0.65298457972211,0.7475720442828623,0.6545117996674598,0.1184747340713452,0.0075397227488161,0.01475754814039,0.0075827037335876,0.5690463783220427
multi,864,288,0,direct,tide,0.0500145815312862,False,,0.2415243834257125,0.1400533765554428,0.6526377321277607,0.7332734081167007,0.6547460476396072,0.1564514745086204,0.0250001027814467,0.0392618697939492,0.026048925401599,0.9036557243624526
multi,864,288,0,direct,itransformer,0.0561036989092826,False,,0.2457208484411239,0.1447486579418182,0.5081439410821951,0.5842480251901757,0.51201324649317,0.3032669566739168,0.0,0.0,0.0,0.0
multi,864,288,0,direct,patchmixer,0.0615214295685291,False,,0.2695423364639282,0.159231811761856,0.4989633402916726,0.6012856916229096,0.5016029910250875,0.2326021804587887,0.0178739304058685,0.0307024087042369,0.0184845595246827,0.8849971477467199
multi,864,288,0,direct,dlinear,0.2217574268579483,False,,0.4725674986839294,0.3342190980911255,0.4309831267116542,0.523121168413695,0.4345759193084632,0.3225769497884284,0.0536304216983313,0.0248723873004152,0.0676025086187926,0.9796526068286436
multi,864,288,0,direct,patchtst,0.0619968250393867,False,,0.2516981065273285,0.1450612545013427,0.4136217130294204,0.499691204783277,0.4176457619489431,0.3568968321887532,-1.574395046575329e-07,-3.1352169520573845e-07,0.0,1.0
multi,864,288,0,direct,xpatch,0.052479512989521,False,,0.2269192934036255,0.1326845437288284,0.1935997316577963,0.3054913197907567,0.1946393959158177,0.2352744793734435,0.0,0.0,0.0,0.0
multi,864,288,0,direct,frets,0.0980892106890678,False,,0.318066656589508,0.2484815269708633,0.0451864199373075,0.0827835461271332,0.0457059131537126,0.3956454404664298,0.0007737630185361,0.0014632049253278,0.0009994131885865,0.9813420061622732
multi,864,288,0,direct,tsmixer,0.2039719223976135,False,,0.4687365293502807,0.3602527678012848,0.0,0.0,0.0,0.0,0.0112323717548361,0.0024215702183345,0.0466973520134966,0.9943794371049852
uni_a,2016,144,0,direct,segrnn_thuml,0.0339826866984367,False,,0.1743324249982834,0.0736512318253517,0.6699331546677539,0.7578101309093525,0.6714749743983615,0.1212819197386743,,,,
